,Sugar Close,Price_Change,Buy/Hold,Corn P_Close,Wheat P_Close,Cotton P_Close,Crude P_Close,USDBRL P_Close,EURUSD P_Close,IR P_Close,Soybeans P_Close,SoyOil P_Close
0,15.640000343322754,0.051075283806232094,Buy,407.5,597.5,70.0,40.290000915527344,5.327199935913086,1.186366319656372,0.9580000042915344,1105.0,35.47999954223633
1,15.430000305175781,0.03487595325857277,Buy,406.75,602.0,68.62000274658203,37.13999938964844,5.414899826049805,1.1859441995620728,0.8199999928474426,1098.5,35.34000015258789
2,15.529999732971191,0.07251382761941016,Buy,409.25,609.25,70.06999969482422,38.790000915527344,5.456999778747559,1.1845253705978394,0.7760000228881836,1101.75,35.470001220703125
3,15.760000228881836,0.07576796172387346,Buy,405.25,606.0,70.2300033569336,39.150001525878906,5.456699848175049,1.1803393363952637,0.7680000066757202,1079.0,34.38999938964844
4,15.890000343322754,0.07948369939330895,Buy,401.0,608.0,70.23999786376953,37.65999984741211,5.389999866485596,1.1780297756195068,0.8820000290870667,1059.0,33.779998779296875
5,15.989999771118164,0.06813623820273994,Buy,397.5,607.5,68.7300033569336,36.810001373291016,5.413899898529053,1.1818794012069702,0.8489999771118164,1050.75,33.189998626708984
6,16.299999237060547,0.13509746704493977,Buy,398.5,598.5,68.91999816894531,35.790000915527344,5.384699821472168,1.182732105255127,0.8600000143051147,1056.5,33.61000061035156
7,16.1200008392334,0.11944453237969431,Buy,398.5,603.75,69.81999969482422,36.16999816894531,5.36269998550415,1.1893010139465332,0.8349999785423279,1051.75,33.060001373291016
8,16.1299991607666,0.08327728602101145,Buy,401.5,608.75,70.16999816894531,37.38999938964844,5.523399829864502,1.1817537546157837,0.781000018119812,1057.25,33.41999816894531
9,16.360000610351562,0.1031692983490695,Buy,416.0,615.75,72.02999877929688,39.56999969482422,5.663000106811523,1.17326819896698,0.777999997138977,1082.25,34.11000061035156
10,15.960000038146973,0.0805686894720299,Buy,417.75,620.0,72.11000061035156,38.560001373291016,5.754899978637695,1.176221489906311,0.8009999990463257,1087.75,34.459999084472656
11,15.899999618530273,0.08016299796845347,Buy,419.25,632.75,71.29000091552734,39.849998474121094,5.741099834442139,1.1642799377441406,0.8410000205039978,1083.75,34.11000061035156
12,16.200000762939453,0.0960758495008986,Buy,416.25,622.75,71.94000244140625,40.63999938964844,5.741399765014648,1.1642121076583862,0.8479999899864197,1073.75,33.689998626708984
13,16.399999618530273,0.13103445645036368,Buy,413.75,629.75,71.04000091552734,40.029998779296875,5.7778000831604,1.1678695678710938,0.8159999847412109,1072.0,33.20000076293945
14,16.260000228881836,0.11829437906061768,Buy,408.75,632.0,71.0199966430664,41.459999084472656,5.744900226593018,1.1748672723770142,0.796999990940094,1064.0,33.310001373291016
15,16.139999389648438,0.0964673299497332,Buy,405.25,627.0,71.16000366210938,40.83000183105469,5.7052001953125,1.1784114837646484,0.7609999775886536,1054.25,32.529998779296875
16,16.43000030517578,0.1386001356689255,Buy,402.0,625.25,69.91999816894531,40.880001068115234,5.622700214385986,1.1809443235397339,0.7440000176429749,1050.0,32.9900016784668
17,16.209999084472656,0.14315929024034743,Buy,403.75,618.25,69.22000122070312,40.959999084472656,5.616199970245361,1.1848480701446533,0.7310000061988831,1062.25,33.16999816894531
18,17.530000686645508,0.23450710719077833,Buy,396.5,596.75,68.93000030517578,41.040000915527344,5.591300010681152,1.1815024614334106,0.722000002861023,1056.25,33.720001220703125
19,17.84000015258789,0.27337614997396287,Buy,391.25,594.0,68.83000183105469,40.20000076293945,5.607800006866455,1.1853959560394287,0.7269999980926514,1044.0,33.720001220703125
20,18.15999984741211,0.31213870283205436,Buy,389.0,594.25,68.37000274658203,39.43000030517578,5.6041998863220215,1.1829839944839478,0.7770000100135803,1033.75,33.13999938964844
21,18.40999984741211,0.2937456387661183,Buy,395.0,593.75,67.63999938964844,40.599998474121094,5.605599880218506,1.176885962486267,0.7749999761581421,1065.5,34.150001525878906
22,18.780000686645508,0.32533525656531065,Buy,387.0,595.25,66.19000244140625,41.189998626708984,5.644800186157227,1.1715501546859741,0.7649999856948853,1050.0,33.2400016784668
23,17.790000915527344,0.2581329903523098,Buy,388.75,607.5,66.29000091552734,39.95000076293945,5.611199855804443,1.1707134246826172,0.7850000262260437,1051.0,33.310001373291016
24,17.510000228881836,0.26152738361033745,Buy,385.0,592.75,65.55999755859375,40.66999816894531,5.5904998779296875,1.1743981838226318,0.7419999837875366,1044.0,33.290000915527344
25,16.959999084472656,0.24614250641452853,Buy,379.5,584.25,64.7300033569336,39.220001220703125,5.56850004196167,1.1742188930511475,0.7620000243186951,1021.5,32.810001373291016
26,16.729999542236328,0.23468629570026614,Buy,379.75,573.25,64.5199966430664,37.04999923706055,5.529699802398682,1.1816140413284302,0.6959999799728394,1020.75,31.940000534057617
27,16.3799991607666,0.20618551198757387,Buy,382.75,570.25,64.61000061035156,38.720001220703125,5.5289998054504395,1.181683897972107,0.6769999861717224,1023.5,32.650001525878906
28,16.549999237060547,0.266258578691048,Buy,379.0,578.0,64.48999786376953,40.220001220703125,5.598599910736084,1.1767003536224365,0.6769999861717224,1023.5,33.369998931884766
29,16.709999084472656,0.2863740861355134,Buy,364.75,549.5,64.0,39.290000915527344,5.611299991607666,1.176747441291809,0.6449999809265137,993.0,32.869998931884766
30,16.440000534057617,0.30579827917463165,Buy,366.75,550.25,64.4000015258789,40.599998474121094,5.593800067901611,1.1737639904022217,0.6629999876022339,996.25,33.290000915527344
