,Date,Soybeans Close,Price_Change,Buy/Hold,Corn P_Close,Wheat P_Close,Cotton P_Close,Crude P_Close,USDBRL P_Close,EURUSD P_Close,IR P_Close,SoyOil P_Close,Sugar P_Close
0,2021-03-24,1428.5,0.2927601809954751,Buy,407.5,597.5,70.0,40.290000915527344,5.327199935913086,1.186366319656372,0.9580000042915344,35.47999954223633,14.880000114440918
1,2021-03-23,1423.25,0.2956304050978607,Buy,406.75,602.0,68.62000274658203,37.13999938964844,5.414899826049805,1.1859441995620728,0.8199999928474426,35.34000015258789,14.90999984741211
2,2021-03-22,1417.5,0.28658951667801225,Buy,409.25,609.25,70.06999969482422,38.790000915527344,5.456999778747559,1.1845253705978394,0.7760000228881836,35.470001220703125,14.479999542236328
3,2021-03-19,1416.25,0.31255792400370713,Buy,405.25,606.0,70.2300033569336,39.150001525878906,5.456699848175049,1.1803393363952637,0.7680000066757202,34.38999938964844,14.649999618530273
4,2021-03-18,1392.25,0.31468366383380547,Buy,401.0,608.0,70.23999786376953,37.65999984741211,5.389999866485596,1.1780297756195068,0.8820000290870667,33.779998779296875,14.720000267028809
5,2021-03-17,1417.75,0.3492743278610516,Buy,397.5,607.5,68.7300033569336,36.810001373291016,5.413899898529053,1.1818794012069702,0.8489999771118164,33.189998626708984,14.970000267028809
6,2021-03-16,1423.25,0.3471367723615712,Buy,398.5,598.5,68.91999816894531,35.790000915527344,5.384699821472168,1.182732105255127,0.8600000143051147,33.61000061035156,14.359999656677246
7,2021-03-15,1419.5,0.3496553363441883,Buy,398.5,603.75,69.81999969482422,36.16999816894531,5.36269998550415,1.1893010139465332,0.8349999785423279,33.060001373291016,14.399999618530273
8,2021-03-12,1415.75,0.3390872546701348,Buy,401.5,608.75,70.16999816894531,37.38999938964844,5.523399829864502,1.1817537546157837,0.781000018119812,33.41999816894531,14.890000343322754
9,2021-03-11,1415.5,0.3079233079233079,Buy,416.0,615.75,72.02999877929688,39.56999969482422,5.663000106811523,1.17326819896698,0.777999997138977,34.11000061035156,14.829999923706055
10,2021-03-10,1411.5,0.2976327281084808,Buy,417.75,620.0,72.11000061035156,38.560001373291016,5.754899978637695,1.176221489906311,0.8009999990463257,34.459999084472656,14.770000457763672
11,2021-03-09,1441.25,0.32987312572087657,Buy,419.25,632.75,71.29000091552734,39.849998474121094,5.741099834442139,1.1642799377441406,0.8410000205039978,34.11000061035156,14.720000267028809
