<<<<<<< HEAD
,SoyOil Close,Price_Change,Buy/Hold,Corn P_Close,Wheat P_Close,Cotton P_Close,Crude P_Close,USDBRL P_Close,EURUSD P_Close,IR P_Close,Soybeans P_Close,Sugar P_Close
0,57.75,0.6276775858255825,Buy,407.5,597.5,70.0,40.290000915527344,5.327199935913086,1.186366319656372,0.9580000042915344,1105.0,14.880000114440918
1,57.02000045776367,0.6134691627495138,Buy,406.75,602.0,68.62000274658203,37.13999938964844,5.414899826049805,1.1859441995620728,0.8199999928474426,1098.5,14.90999984741211
2,56.369998931884766,0.5892302506880867,Buy,409.25,609.25,70.06999969482422,38.790000915527344,5.456999778747559,1.1845253705978394,0.7760000228881836,1101.75,14.479999542236328
3,53.869998931884766,0.5664437303857559,Buy,405.25,606.0,70.2300033569336,39.150001525878906,5.456699848175049,1.1803393363952637,0.7680000066757202,1079.0,14.649999618530273
4,53.52000045776367,0.5843695201837921,Buy,401.0,608.0,70.23999786376953,37.65999984741211,5.389999866485596,1.1780297756195068,0.8820000290870667,1059.0,14.720000267028809
5,54.599998474121094,0.645073839508473,Buy,397.5,607.5,68.7300033569336,36.810001373291016,5.413899898529053,1.1818794012069702,0.8489999771118164,1050.75,14.970000267028809
6,55.09000015258789,0.6390954820637728,Buy,398.5,598.5,68.91999816894531,35.790000915527344,5.384699821472168,1.182732105255127,0.8600000143051147,1056.5,14.359999656677246
7,55.09000015258789,0.6663641217236846,Buy,398.5,603.75,69.81999969482422,36.16999816894531,5.36269998550415,1.1893010139465332,0.8349999785423279,1051.75,14.399999618530273
8,56.88999938964844,0.702274162375988,Buy,401.5,608.75,70.16999816894531,37.38999938964844,5.523399829864502,1.1817537546157837,0.781000018119812,1057.25,14.890000343322754
9,56.459999084472656,0.655233013022533,Buy,416.0,615.75,72.02999877929688,39.56999969482422,5.663000106811523,1.17326819896698,0.777999997138977,1082.25,14.829999923706055
10,55.36000061035156,0.6065003505846361,Buy,417.75,620.0,72.11000061035156,38.560001373291016,5.754899978637695,1.176221489906311,0.8009999990463257,1087.75,14.770000457763672
11,55.150001525878906,0.6168279255070495,Buy,419.25,632.75,71.29000091552734,39.849998474121094,5.741099834442139,1.1642799377441406,0.8410000205039978,1083.75,14.720000267028809
12,54.060001373291016,0.6046305603121326,Buy,416.25,622.75,71.94000244140625,40.63999938964844,5.741399765014648,1.1642121076583862,0.8479999899864197,1073.75,14.779999732971191
13,53.380001068115234,0.6078313205252195,Buy,413.75,629.75,71.04000091552734,40.029998779296875,5.7778000831604,1.1678695678710938,0.8159999847412109,1072.0,14.5
14,52.380001068115234,0.5725007177608564,Buy,408.75,632.0,71.0199966430664,41.459999084472656,5.744900226593018,1.1748672723770142,0.796999990940094,1064.0,14.539999961853027
15,51.349998474121094,0.5785428958208835,Buy,405.25,627.0,71.16000366210938,40.83000183105469,5.7052001953125,1.1784114837646484,0.7609999775886536,1054.25,14.720000267028809
16,51.27000045776367,0.5541072400499021,Buy,402.0,625.25,69.91999816894531,40.880001068115234,5.622700214385986,1.1809443235397339,0.7440000176429749,1050.0,14.430000305175781
17,50.77000045776367,0.530600037997469,Buy,403.75,618.25,69.22000122070312,40.959999084472656,5.616199970245361,1.1848480701446533,0.7310000061988831,1062.25,14.180000305175781
18,51.34000015258789,0.5225385021951477,Buy,396.5,596.75,68.93000030517578,41.040000915527344,5.591300010681152,1.1815024614334106,0.722000002861023,1056.25,14.199999809265137
19,50.959999084472656,0.511269194533263,Buy,391.25,594.0,68.83000183105469,40.20000076293945,5.607800006866455,1.1853959560394287,0.7269999980926514,1044.0,14.010000228881836
20,51.13999938964844,0.5431502815785342,Buy,389.0,594.25,68.37000274658203,39.43000030517578,5.6041998863220215,1.1829839944839478,0.7770000100135803,1033.75,13.84000015258789
21,49.2599983215332,0.4424596228554756,Buy,395.0,593.75,67.63999938964844,40.599998474121094,5.605599880218506,1.176885962486267,0.7749999761581421,1065.5,14.229999542236328
22,47.900001525878906,0.44103487085287973,Buy,387.0,595.25,66.19000244140625,41.189998626708984,5.644800186157227,1.1715501546859741,0.7649999856948853,1050.0,14.170000076293945
23,47.54999923706055,0.4274991677180656,Buy,388.75,607.5,66.29000091552734,39.95000076293945,5.611199855804443,1.1707134246826172,0.7850000262260437,1051.0,14.140000343322754
24,46.90999984741211,0.4091318280959264,Buy,385.0,592.75,65.55999755859375,40.66999816894531,5.5904998779296875,1.1743981838226318,0.7419999837875366,1044.0,13.880000114440918
25,46.77000045776367,0.4254799908614693,Buy,379.5,584.25,64.7300033569336,39.220001220703125,5.56850004196167,1.1742188930511475,0.7620000243186951,1021.5,13.609999656677246
26,47.27000045776367,0.4799624191414674,Buy,379.75,573.25,64.5199966430664,37.04999923706055,5.529699802398682,1.1816140413284302,0.6959999799728394,1020.75,13.550000190734863
27,46.040000915527344,0.4101071596898797,Buy,382.75,570.25,64.61000061035156,38.720001220703125,5.5289998054504395,1.181683897972107,0.6769999861717224,1023.5,13.579999923706055
28,45.630001068115234,0.3673959403251924,Buy,379.0,578.0,64.48999786376953,40.220001220703125,5.598599910736084,1.1767003536224365,0.6769999861717224,1023.5,13.069999694824219
29,45.689998626708984,0.39002129940407393,Buy,364.75,549.5,64.0,39.290000915527344,5.611299991607666,1.176747441291809,0.6449999809265137,993.0,12.989999771118164
30,46.52000045776367,0.39741661695375635,Buy,366.75,550.25,64.4000015258789,40.599998474121094,5.593800067901611,1.1737639904022217,0.6629999876022339,996.25,12.59000015258789
